('BlackBerry', 'hero1379'),{'model': 'hero1379', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '15275', 'thickness': '23', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '19'}
('BlackBerry', 'hero2129'),{'model': 'hero2129', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '29347', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '16'}
('BlackBerry', 'hero1896'),{'model': 'hero1896', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '17172', 'thickness': '26', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '9'}
('BlackBerry', 'lumia137'),{'model': 'lumia137', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '31878', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '16'}
('BlackBerry', 'hero3861'),{'model': 'hero3861', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '25273', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '20'}
('BlackBerry', 'blackberry3011'),{'model': 'blackberry3011', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '37663', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '25'}
('BlackBerry', 'blackberry931'),{'model': 'blackberry931', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '39019', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '29'}
('BlackBerry', 'blackberry4068'),{'model': 'blackberry4068', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '1388', 'thickness': '25', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '25'}
('BlackBerry', 'N1118'),{'model': 'N1118', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '27754', 'thickness': '22', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '9'}
('BlackBerry', 'lumia1694'),{'model': 'lumia1694', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '12215', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '10'}
('BlackBerry', 'hero4198'),{'model': 'hero4198', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '23087', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '7'}
('BlackBerry', 'hero1479'),{'model': 'hero1479', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '29405', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '17'}
('BlackBerry', 'hero1527'),{'model': 'hero1527', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '34978', 'thickness': '26', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '19'}
('BlackBerry', 'lumia3587'),{'model': 'lumia3587', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '35929', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '5'}
('BlackBerry', 'blackberry4440'),{'model': 'blackberry4440', 'GPS': 'no', 'frontcamera': '15', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '6923', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '11'}
('BlackBerry', 'lumia700'),{'model': 'lumia700', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '18591', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '27'}
('BlackBerry', 'lumia1636'),{'model': 'lumia1636', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '19343', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '25'}
('BlackBerry', 'hero4237'),{'model': 'hero4237', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '2744', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '20'}
('BlackBerry', 'lumia1654'),{'model': 'lumia1654', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '18153', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '21'}
('BlackBerry', 'N2171'),{'model': 'N2171', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '33838', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '18'}
('BlackBerry', 'hero3473'),{'model': 'hero3473', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '22418', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '16'}
('BlackBerry', 'lumia2735'),{'model': 'lumia2735', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '35960', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '14'}
('BlackBerry', 'lumia2750'),{'model': 'lumia2750', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '29675', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '29'}
('BlackBerry', 'hero3447'),{'model': 'hero3447', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '39590', 'thickness': '16', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '7'}
('BlackBerry', 'N3964'),{'model': 'N3964', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '20642', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '14'}
('BlackBerry', 'hero3945'),{'model': 'hero3945', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '35867', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '13'}
('BlackBerry', 'hero3205'),{'model': 'hero3205', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '24818', 'thickness': '23', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '15'}
('BlackBerry', 'N4280'),{'model': 'N4280', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '17105', 'thickness': '23', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '24'}
('BlackBerry', 'hero1572'),{'model': 'hero1572', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '2238', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '11'}
('BlackBerry', 'lumia3577'),{'model': 'lumia3577', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '8282', 'thickness': '10', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '16'}
('BlackBerry', 'hero921'),{'model': 'hero921', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '25027', 'thickness': '25', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '8'}
('BlackBerry', 'hero1717'),{'model': 'hero1717', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '26466', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '22'}
('BlackBerry', 'blackberry3795'),{'model': 'blackberry3795', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '5943', 'thickness': '17', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '15'}
('BlackBerry', 'lumia2995'),{'model': 'lumia2995', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '17567', 'thickness': '26', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '15'}
('BlackBerry', 'hero3191'),{'model': 'hero3191', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '19646', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '8'}
('BlackBerry', 'hero1489'),{'model': 'hero1489', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '27839', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '29'}
('BlackBerry', 'hero2349'),{'model': 'hero2349', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '5096', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '14'}
('BlackBerry', 'N1664'),{'model': 'N1664', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '11439', 'thickness': '17', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '29'}
('BlackBerry', 'N3286'),{'model': 'N3286', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '35779', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '20'}
('BlackBerry', 'N4387'),{'model': 'N4387', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '14802', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '11'}
('BlackBerry', 'hero102'),{'model': 'hero102', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '2958', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '18'}
('BlackBerry', 'N1684'),{'model': 'N1684', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '13635', 'thickness': '28', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '23'}
('BlackBerry', 'hero2747'),{'model': 'hero2747', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '31358', 'thickness': '30', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '15'}
('BlackBerry', 'N2000'),{'model': 'N2000', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '36016', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '27'}
('BlackBerry', 'N1956'),{'model': 'N1956', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '37462', 'thickness': '12', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '25'}
('BlackBerry', 'blackberry1254'),{'model': 'blackberry1254', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '10234', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '5'}
('BlackBerry', 'N3942'),{'model': 'N3942', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '34207', 'thickness': '23', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '29'}
('BlackBerry', 'blackberry4065'),{'model': 'blackberry4065', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '5333', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '12'}
('BlackBerry', 'hero1566'),{'model': 'hero1566', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '5111', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '29'}
('BlackBerry', 'blackberry4319'),{'model': 'blackberry4319', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '13590', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '15'}
('BlackBerry', 'blackberry3211'),{'model': 'blackberry3211', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '11673', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '26'}
('BlackBerry', 'blackberry2553'),{'model': 'blackberry2553', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '37110', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '25'}
('BlackBerry', 'blackberry1542'),{'model': 'blackberry1542', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '22273', 'thickness': '22', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '15'}
('BlackBerry', 'N3824'),{'model': 'N3824', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '26790', 'thickness': '30', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '5'}
('BlackBerry', 'hero3641'),{'model': 'hero3641', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '13524', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '14'}
('BlackBerry', 'N2526'),{'model': 'N2526', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '12163', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '5'}
