('Lg', 'hero2806'),{'model': 'hero2806', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '0', 'company': 'Lg', 'price': '12471', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '11'}
('Lg', 'N496'),{'model': 'N496', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '0', 'company': 'Lg', 'price': '17697', 'thickness': '26', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '27'}
('Lg', 'blackberry4513'),{'model': 'blackberry4513', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '0', 'company': 'Lg', 'price': '15618', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '18'}
('Lg', 'lumia590'),{'model': 'lumia590', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '2', 'company': 'Lg', 'price': '39268', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '6'}
('Lg', 'blackberry2306'),{'model': 'blackberry2306', 'GPS': 'yes', 'frontcamera': '9', 'rearcamera': '3', 'company': 'Lg', 'price': '7238', 'thickness': '23', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '30'}
('Lg', 'lumia3476'),{'model': 'lumia3476', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '3', 'company': 'Lg', 'price': '29657', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '16'}
('Lg', 'hero1266'),{'model': 'hero1266', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '0', 'company': 'Lg', 'price': '2901', 'thickness': '14', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '27'}
('Lg', 'N229'),{'model': 'N229', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '3', 'company': 'Lg', 'price': '39470', 'thickness': '22', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '20'}
('Lg', 'lumia1446'),{'model': 'lumia1446', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '3', 'company': 'Lg', 'price': '21722', 'thickness': '26', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '18'}
('Lg', 'hero857'),{'model': 'hero857', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '4', 'company': 'Lg', 'price': '4069', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '24'}
('Lg', 'hero4410'),{'model': 'hero4410', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '2', 'company': 'Lg', 'price': '26782', 'thickness': '20', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '7'}
('Lg', 'hero793'),{'model': 'hero793', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '0', 'company': 'Lg', 'price': '35092', 'thickness': '29', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '30'}
('Lg', 'hero4352'),{'model': 'hero4352', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '2', 'company': 'Lg', 'price': '34684', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '6'}
('Lg', 'hero466'),{'model': 'hero466', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '4', 'company': 'Lg', 'price': '37133', 'thickness': '13', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '19'}
('Lg', 'hero4356'),{'model': 'hero4356', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '3', 'company': 'Lg', 'price': '26370', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '10'}
('Lg', 'blackberry1141'),{'model': 'blackberry1141', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '2', 'company': 'Lg', 'price': '36931', 'thickness': '12', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '20'}
('Lg', 'N2143'),{'model': 'N2143', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '4', 'company': 'Lg', 'price': '14218', 'thickness': '30', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '12'}
('Lg', 'blackberry4081'),{'model': 'blackberry4081', 'GPS': 'yes', 'frontcamera': '9', 'rearcamera': '4', 'company': 'Lg', 'price': '22729', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '18'}
('Lg', 'blackberry245'),{'model': 'blackberry245', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '0', 'company': 'Lg', 'price': '17898', 'thickness': '13', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '17'}
('Lg', 'hero2703'),{'model': 'hero2703', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '4', 'company': 'Lg', 'price': '39135', 'thickness': '12', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '19'}
('Lg', 'N412'),{'model': 'N412', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '2', 'company': 'Lg', 'price': '2227', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '30'}
('Lg', 'N1807'),{'model': 'N1807', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '4', 'company': 'Lg', 'price': '7160', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '24'}
('Lg', 'blackberry3354'),{'model': 'blackberry3354', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '3', 'company': 'Lg', 'price': '33017', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '9'}
('Lg', 'lumia916'),{'model': 'lumia916', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '0', 'company': 'Lg', 'price': '9405', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '19'}
('Lg', 'hero800'),{'model': 'hero800', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '0', 'company': 'Lg', 'price': '2110', 'thickness': '23', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '19'}
('Lg', 'lumia2070'),{'model': 'lumia2070', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '3', 'company': 'Lg', 'price': '15635', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '12'}
('Lg', 'hero2061'),{'model': 'hero2061', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '1', 'company': 'Lg', 'price': '21761', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '29'}
('Lg', 'lumia1802'),{'model': 'lumia1802', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '1', 'company': 'Lg', 'price': '25271', 'thickness': '28', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '15'}
('Lg', 'hero3810'),{'model': 'hero3810', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '4', 'company': 'Lg', 'price': '9135', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '21'}
('Lg', 'N4542'),{'model': 'N4542', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '5', 'company': 'Lg', 'price': '27520', 'thickness': '12', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '24'}
('Lg', 'hero1568'),{'model': 'hero1568', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '3', 'company': 'Lg', 'price': '18560', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '9'}
('Lg', 'lumia1671'),{'model': 'lumia1671', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '3', 'company': 'Lg', 'price': '25456', 'thickness': '28', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '19'}
('Lg', 'hero3551'),{'model': 'hero3551', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '2', 'company': 'Lg', 'price': '35392', 'thickness': '25', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '5'}
('Lg', 'N2839'),{'model': 'N2839', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '3', 'company': 'Lg', 'price': '12864', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '16'}
('Lg', 'hero774'),{'model': 'hero774', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '0', 'company': 'Lg', 'price': '37902', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '17'}
('Lg', 'lumia2609'),{'model': 'lumia2609', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '4', 'company': 'Lg', 'price': '25075', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '24'}
('Lg', 'N517'),{'model': 'N517', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '3', 'company': 'Lg', 'price': '24434', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '12'}
('Lg', 'lumia429'),{'model': 'lumia429', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '4', 'company': 'Lg', 'price': '6568', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '21'}
('Lg', 'hero1227'),{'model': 'hero1227', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '2', 'company': 'Lg', 'price': '17050', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '30'}
('Lg', 'hero3851'),{'model': 'hero3851', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '4', 'company': 'Lg', 'price': '24164', 'thickness': '28', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '11'}
('Lg', 'hero2858'),{'model': 'hero2858', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '1', 'company': 'Lg', 'price': '13529', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '5'}
('Lg', 'hero4122'),{'model': 'hero4122', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '2', 'company': 'Lg', 'price': '26455', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '28'}
('Lg', 'hero2895'),{'model': 'hero2895', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '3', 'company': 'Lg', 'price': '4275', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '6'}
('Lg', 'hero3611'),{'model': 'hero3611', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '0', 'company': 'Lg', 'price': '4815', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '19'}
('Lg', 'hero3221'),{'model': 'hero3221', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '4', 'company': 'Lg', 'price': '24680', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '24'}
('Lg', 'hero4340'),{'model': 'hero4340', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '0', 'company': 'Lg', 'price': '32640', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '21'}
('Lg', 'hero3047'),{'model': 'hero3047', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '2', 'company': 'Lg', 'price': '39979', 'thickness': '26', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '14'}
('Lg', 'hero4416'),{'model': 'hero4416', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '2', 'company': 'Lg', 'price': '11090', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '24'}
('Lg', 'hero2521'),{'model': 'hero2521', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '3', 'company': 'Lg', 'price': '13680', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '13'}
('Lg', 'blackberry2324'),{'model': 'blackberry2324', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '4', 'company': 'Lg', 'price': '31315', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '10'}
('Lg', 'hero2422'),{'model': 'hero2422', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '5', 'company': 'Lg', 'price': '26416', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '25'}
('Lg', 'hero1597'),{'model': 'hero1597', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '2', 'company': 'Lg', 'price': '10875', 'thickness': '16', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '17'}
('Lg', 'lumia1741'),{'model': 'lumia1741', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '3', 'company': 'Lg', 'price': '5883', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '27'}
('Lg', 'blackberry2840'),{'model': 'blackberry2840', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '4', 'company': 'Lg', 'price': '14665', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '18'}
('Lg', 'N255'),{'model': 'N255', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '1', 'company': 'Lg', 'price': '37515', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '15'}
('Lg', 'hero3000'),{'model': 'hero3000', 'GPS': 'yes', 'frontcamera': '15', 'rearcamera': '1', 'company': 'Lg', 'price': '20762', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '8'}
('Lg', 'lumia3278'),{'model': 'lumia3278', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '1', 'company': 'Lg', 'price': '9961', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '30'}
('Lg', 'hero3143'),{'model': 'hero3143', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '2', 'company': 'Lg', 'price': '4003', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '11'}
('Lg', 'N3540'),{'model': 'N3540', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '2', 'company': 'Lg', 'price': '30733', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '12'}
('Lg', 'lumia1493'),{'model': 'lumia1493', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '2', 'company': 'Lg', 'price': '28057', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '24'}
('Lg', 'hero3285'),{'model': 'hero3285', 'GPS': 'yes', 'frontcamera': '14', 'rearcamera': '0', 'company': 'Lg', 'price': '24284', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '9'}
('Lg', 'blackberry359'),{'model': 'blackberry359', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '0', 'company': 'Lg', 'price': '2755', 'thickness': '29', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '24'}
('Lg', 'lumia3157'),{'model': 'lumia3157', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '1', 'company': 'Lg', 'price': '8826', 'thickness': '26', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '23'}
('Lg', 'lumia940'),{'model': 'lumia940', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '4', 'company': 'Lg', 'price': '22445', 'thickness': '20', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '17'}
('Lg', 'N2201'),{'model': 'N2201', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '2', 'company': 'Lg', 'price': '31002', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '16'}
('Lg', 'N2900'),{'model': 'N2900', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '4', 'company': 'Lg', 'price': '20819', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '20'}
('Lg', 'blackberry4183'),{'model': 'blackberry4183', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '1', 'company': 'Lg', 'price': '14988', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '23'}
('Lg', 'lumia1842'),{'model': 'lumia1842', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '5', 'company': 'Lg', 'price': '1627', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '17'}
('Lg', 'N2721'),{'model': 'N2721', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '2', 'company': 'Lg', 'price': '4999', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '6'}
('Lg', 'lumia3876'),{'model': 'lumia3876', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '2', 'company': 'Lg', 'price': '18830', 'thickness': '22', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '26'}
('Lg', 'hero813'),{'model': 'hero813', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '5', 'company': 'Lg', 'price': '27043', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '19'}
('Lg', 'N4393'),{'model': 'N4393', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '3', 'company': 'Lg', 'price': '35913', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '28'}
('Lg', 'N1470'),{'model': 'N1470', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '1', 'company': 'Lg', 'price': '14391', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '18'}
('Lg', 'N4331'),{'model': 'N4331', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '2', 'company': 'Lg', 'price': '17171', 'thickness': '16', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '16'}
('Lg', 'blackberry2320'),{'model': 'blackberry2320', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '0', 'company': 'Lg', 'price': '29728', 'thickness': '19', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '24'}
('Lg', 'N3792'),{'model': 'N3792', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '1', 'company': 'Lg', 'price': '13131', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '11'}
('Lg', 'N1684'),{'model': 'N1684', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '5', 'company': 'Lg', 'price': '20755', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '7'}
('Lg', 'blackberry2466'),{'model': 'blackberry2466', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '1', 'company': 'Lg', 'price': '27517', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '30'}
('Lg', 'blackberry2036'),{'model': 'blackberry2036', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '2', 'company': 'Lg', 'price': '31270', 'thickness': '24', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '28'}
('Lg', 'N2011'),{'model': 'N2011', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '3', 'company': 'Lg', 'price': '38552', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '18'}
('Lg', 'N2732'),{'model': 'N2732', 'GPS': 'yes', 'frontcamera': '15', 'rearcamera': '1', 'company': 'Lg', 'price': '24983', 'thickness': '29', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '28'}
('Lg', 'hero1309'),{'model': 'hero1309', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '4', 'company': 'Lg', 'price': '22530', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '13'}
('Lg', 'hero2061'),{'model': 'hero2061', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '1', 'company': 'Lg', 'price': '36647', 'thickness': '14', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '12'}
('Lg', 'hero1419'),{'model': 'hero1419', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '4', 'company': 'Lg', 'price': '18348', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '6'}
('Lg', 'hero767'),{'model': 'hero767', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '3', 'company': 'Lg', 'price': '34330', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '7'}
('Lg', 'hero409'),{'model': 'hero409', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '4', 'company': 'Lg', 'price': '33643', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '28'}
('Lg', 'hero2010'),{'model': 'hero2010', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '2', 'company': 'Lg', 'price': '5251', 'thickness': '10', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '6'}
('Lg', 'blackberry4120'),{'model': 'blackberry4120', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '0', 'company': 'Lg', 'price': '11223', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '14'}
('Lg', 'N938'),{'model': 'N938', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '1', 'company': 'Lg', 'price': '22479', 'thickness': '17', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '13'}
('Lg', 'hero2723'),{'model': 'hero2723', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '2', 'company': 'Lg', 'price': '39450', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '30'}
