('Samsung', 'N2384'),{'model': 'N2384', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '5', 'company': 'Samsung', 'price': '26073', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '16'}
('Samsung', 'lumia2548'),{'model': 'lumia2548', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '3', 'company': 'Samsung', 'price': '11512', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '21'}
('Samsung', 'N3491'),{'model': 'N3491', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '4', 'company': 'Samsung', 'price': '20430', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '22'}
('Samsung', 'hero2436'),{'model': 'hero2436', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '5', 'company': 'Samsung', 'price': '6895', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '20'}
('Samsung', 'blackberry456'),{'model': 'blackberry456', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '1', 'company': 'Samsung', 'price': '26060', 'thickness': '28', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '12'}
('Samsung', 'N1382'),{'model': 'N1382', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '5', 'company': 'Samsung', 'price': '5688', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '28'}
('Samsung', 'hero1582'),{'model': 'hero1582', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '0', 'company': 'Samsung', 'price': '17292', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '13'}
('Samsung', 'N1363'),{'model': 'N1363', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '3', 'company': 'Samsung', 'price': '32555', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '28'}
('Samsung', 'blackberry917'),{'model': 'blackberry917', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '2', 'company': 'Samsung', 'price': '16452', 'thickness': '23', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '14'}
('Samsung', 'lumia4546'),{'model': 'lumia4546', 'GPS': 'yes', 'frontcamera': '17', 'rearcamera': '1', 'company': 'Samsung', 'price': '2014', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '28'}
('Samsung', 'lumia3304'),{'model': 'lumia3304', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '3', 'company': 'Samsung', 'price': '23541', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '21'}
('Samsung', 'hero2087'),{'model': 'hero2087', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '5', 'company': 'Samsung', 'price': '15282', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '20'}
('Samsung', 'hero4559'),{'model': 'hero4559', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '1', 'company': 'Samsung', 'price': '21176', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '10'}
('Samsung', 'hero2550'),{'model': 'hero2550', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '4', 'company': 'Samsung', 'price': '5245', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '26'}
('Samsung', 'blackberry1261'),{'model': 'blackberry1261', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '1', 'company': 'Samsung', 'price': '11877', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '14'}
('Samsung', 'lumia3503'),{'model': 'lumia3503', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '5', 'company': 'Samsung', 'price': '29085', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '29'}
('Samsung', 'hero391'),{'model': 'hero391', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '5', 'company': 'Samsung', 'price': '31942', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '10'}
('Samsung', 'hero4537'),{'model': 'hero4537', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '3', 'company': 'Samsung', 'price': '22892', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '6'}
('Samsung', 'N1380'),{'model': 'N1380', 'GPS': 'yes', 'frontcamera': '15', 'rearcamera': '2', 'company': 'Samsung', 'price': '3569', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '29'}
('Samsung', 'hero235'),{'model': 'hero235', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '5', 'company': 'Samsung', 'price': '30198', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '8'}
('Samsung', 'lumia3504'),{'model': 'lumia3504', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '5', 'company': 'Samsung', 'price': '2054', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '19'}
('Samsung', 'N2601'),{'model': 'N2601', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '0', 'company': 'Samsung', 'price': '32427', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '20'}
('Samsung', 'blackberry3043'),{'model': 'blackberry3043', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '2', 'company': 'Samsung', 'price': '21565', 'thickness': '17', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '13'}
('Samsung', 'hero193'),{'model': 'hero193', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '5', 'company': 'Samsung', 'price': '15351', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '16'}
('Samsung', 'hero1793'),{'model': 'hero1793', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '5', 'company': 'Samsung', 'price': '13002', 'thickness': '29', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '19'}
('Samsung', 'blackberry931'),{'model': 'blackberry931', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '5', 'company': 'Samsung', 'price': '24122', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '6'}
('Samsung', 'lumia1598'),{'model': 'lumia1598', 'GPS': 'yes', 'frontcamera': '14', 'rearcamera': '2', 'company': 'Samsung', 'price': '1493', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '23'}
('Samsung', 'blackberry3300'),{'model': 'blackberry3300', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '0', 'company': 'Samsung', 'price': '36231', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '9'}
('Samsung', 'blackberry1148'),{'model': 'blackberry1148', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '1', 'company': 'Samsung', 'price': '21065', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '6'}
('Samsung', 'blackberry505'),{'model': 'blackberry505', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '5', 'company': 'Samsung', 'price': '37350', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '13'}
('Samsung', 'lumia1364'),{'model': 'lumia1364', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '4', 'company': 'Samsung', 'price': '8728', 'thickness': '23', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '5'}
('Samsung', 'blackberry3992'),{'model': 'blackberry3992', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '5', 'company': 'Samsung', 'price': '27313', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '20'}
('Samsung', 'N2368'),{'model': 'N2368', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '5', 'company': 'Samsung', 'price': '18955', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '11'}
('Samsung', 'N1359'),{'model': 'N1359', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '4', 'company': 'Samsung', 'price': '4812', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '5'}
('Samsung', 'hero637'),{'model': 'hero637', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '4', 'company': 'Samsung', 'price': '11319', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '22'}
('Samsung', 'lumia3793'),{'model': 'lumia3793', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '1', 'company': 'Samsung', 'price': '1895', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '30'}
('Samsung', 'lumia1438'),{'model': 'lumia1438', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '3', 'company': 'Samsung', 'price': '3746', 'thickness': '30', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '17'}
('Samsung', 'lumia251'),{'model': 'lumia251', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '4', 'company': 'Samsung', 'price': '10694', 'thickness': '20', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '30'}
('Samsung', 'lumia2711'),{'model': 'lumia2711', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '4', 'company': 'Samsung', 'price': '22338', 'thickness': '22', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '15'}
('Samsung', 'lumia4163'),{'model': 'lumia4163', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '3', 'company': 'Samsung', 'price': '7825', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '22'}
('Samsung', 'N4412'),{'model': 'N4412', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '2', 'company': 'Samsung', 'price': '11515', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '9'}
('Samsung', 'lumia2617'),{'model': 'lumia2617', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '5', 'company': 'Samsung', 'price': '31661', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '5'}
('Samsung', 'hero2318'),{'model': 'hero2318', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '0', 'company': 'Samsung', 'price': '5464', 'thickness': '19', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '17'}
('Samsung', 'hero2066'),{'model': 'hero2066', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '5', 'company': 'Samsung', 'price': '3208', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '25'}
('Samsung', 'lumia484'),{'model': 'lumia484', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '2', 'company': 'Samsung', 'price': '8878', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '13'}
('Samsung', 'hero323'),{'model': 'hero323', 'GPS': 'yes', 'frontcamera': '17', 'rearcamera': '3', 'company': 'Samsung', 'price': '26510', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '27'}
('Samsung', 'hero2898'),{'model': 'hero2898', 'GPS': 'no', 'frontcamera': '15', 'rearcamera': '5', 'company': 'Samsung', 'price': '30249', 'thickness': '29', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '24'}
('Samsung', 'hero4297'),{'model': 'hero4297', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '4', 'company': 'Samsung', 'price': '16717', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '20'}
('Samsung', 'hero4492'),{'model': 'hero4492', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '0', 'company': 'Samsung', 'price': '19916', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '14'}
('Samsung', 'lumia4142'),{'model': 'lumia4142', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '3', 'company': 'Samsung', 'price': '13244', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '12'}
('Samsung', 'hero1378'),{'model': 'hero1378', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '0', 'company': 'Samsung', 'price': '10188', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '21'}
('Samsung', 'lumia176'),{'model': 'lumia176', 'GPS': 'yes', 'frontcamera': '17', 'rearcamera': '0', 'company': 'Samsung', 'price': '18535', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '7'}
('Samsung', 'blackberry3460'),{'model': 'blackberry3460', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '0', 'company': 'Samsung', 'price': '3849', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '12'}
('Samsung', 'blackberry3716'),{'model': 'blackberry3716', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '3', 'company': 'Samsung', 'price': '18916', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '8'}
('Samsung', 'hero2300'),{'model': 'hero2300', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '5', 'company': 'Samsung', 'price': '13607', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '19'}
('Samsung', 'lumia3536'),{'model': 'lumia3536', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '2', 'company': 'Samsung', 'price': '24918', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '7'}
('Samsung', 'hero1917'),{'model': 'hero1917', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '3', 'company': 'Samsung', 'price': '9926', 'thickness': '27', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '11'}
('Samsung', 'blackberry2976'),{'model': 'blackberry2976', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '1', 'company': 'Samsung', 'price': '3718', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '23'}
('Samsung', 'hero3935'),{'model': 'hero3935', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '0', 'company': 'Samsung', 'price': '16049', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '26'}
('Samsung', 'hero3669'),{'model': 'hero3669', 'GPS': 'no', 'frontcamera': '15', 'rearcamera': '4', 'company': 'Samsung', 'price': '9662', 'thickness': '13', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '22'}
('Samsung', 'N4246'),{'model': 'N4246', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '0', 'company': 'Samsung', 'price': '12479', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '8'}
('Samsung', 'hero4069'),{'model': 'hero4069', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '1', 'company': 'Samsung', 'price': '38001', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '27'}
('Samsung', 'hero2411'),{'model': 'hero2411', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '3', 'company': 'Samsung', 'price': '23827', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '18'}
('Samsung', 'N467'),{'model': 'N467', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '5', 'company': 'Samsung', 'price': '18551', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '24'}
('Samsung', 'hero2314'),{'model': 'hero2314', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '4', 'company': 'Samsung', 'price': '15405', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '30'}
('Samsung', 'lumia1842'),{'model': 'lumia1842', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '1', 'company': 'Samsung', 'price': '10224', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '30'}
('Samsung', 'blackberry1835'),{'model': 'blackberry1835', 'GPS': 'no', 'frontcamera': '15', 'rearcamera': '2', 'company': 'Samsung', 'price': '14415', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '14'}
('Samsung', 'hero1287'),{'model': 'hero1287', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '1', 'company': 'Samsung', 'price': '7090', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '6'}
('Samsung', 'hero3462'),{'model': 'hero3462', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '1', 'company': 'Samsung', 'price': '21148', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '27'}
('Samsung', 'hero1984'),{'model': 'hero1984', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '4', 'company': 'Samsung', 'price': '19710', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '28'}
('Samsung', 'hero1826'),{'model': 'hero1826', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '4', 'company': 'Samsung', 'price': '23199', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '12'}
('Samsung', 'N3749'),{'model': 'N3749', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '5', 'company': 'Samsung', 'price': '34857', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '13'}
('Samsung', 'blackberry2980'),{'model': 'blackberry2980', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '3', 'company': 'Samsung', 'price': '14036', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '13'}
('Samsung', 'hero514'),{'model': 'hero514', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '4', 'company': 'Samsung', 'price': '15895', 'thickness': '22', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '9'}
('Samsung', 'hero121'),{'model': 'hero121', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '5', 'company': 'Samsung', 'price': '17189', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '9'}
('Samsung', 'hero4159'),{'model': 'hero4159', 'GPS': 'yes', 'frontcamera': '15', 'rearcamera': '4', 'company': 'Samsung', 'price': '19043', 'thickness': '18', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '30'}
('Samsung', 'lumia3831'),{'model': 'lumia3831', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '4', 'company': 'Samsung', 'price': '17815', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '30'}
('Samsung', 'hero2890'),{'model': 'hero2890', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '2', 'company': 'Samsung', 'price': '4399', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '17'}
('Samsung', 'blackberry2147'),{'model': 'blackberry2147', 'GPS': 'yes', 'frontcamera': '14', 'rearcamera': '2', 'company': 'Samsung', 'price': '16689', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '7'}
('Samsung', 'lumia2396'),{'model': 'lumia2396', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '5', 'company': 'Samsung', 'price': '28831', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '11'}
('Samsung', 'blackberry2731'),{'model': 'blackberry2731', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '4', 'company': 'Samsung', 'price': '14578', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '30'}
('Samsung', 'hero2717'),{'model': 'hero2717', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '0', 'company': 'Samsung', 'price': '29891', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '15'}
('Samsung', 'hero4554'),{'model': 'hero4554', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '5', 'company': 'Samsung', 'price': '35576', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '20'}
('Samsung', 'hero582'),{'model': 'hero582', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '4', 'company': 'Samsung', 'price': '19419', 'thickness': '20', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '8'}
('Samsung', 'lumia1452'),{'model': 'lumia1452', 'GPS': 'yes', 'frontcamera': '9', 'rearcamera': '3', 'company': 'Samsung', 'price': '27470', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '10'}
('Samsung', 'blackberry741'),{'model': 'blackberry741', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '1', 'company': 'Samsung', 'price': '7306', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '27'}
('Samsung', 'blackberry1250'),{'model': 'blackberry1250', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '2', 'company': 'Samsung', 'price': '35952', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '12'}
('Samsung', 'lumia2047'),{'model': 'lumia2047', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '1', 'company': 'Samsung', 'price': '33775', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '20'}
('Samsung', 'N2516'),{'model': 'N2516', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '2', 'company': 'Samsung', 'price': '24022', 'thickness': '18', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '10'}
('Samsung', 'hero1697'),{'model': 'hero1697', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '0', 'company': 'Samsung', 'price': '22389', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '29'}
('Samsung', 'lumia182'),{'model': 'lumia182', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '5', 'company': 'Samsung', 'price': '30091', 'thickness': '29', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '30'}
('Samsung', 'blackberry1115'),{'model': 'blackberry1115', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '1', 'company': 'Samsung', 'price': '27807', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '27'}
('Samsung', 'hero2573'),{'model': 'hero2573', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '1', 'company': 'Samsung', 'price': '5581', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '25'}
('Samsung', 'hero3773'),{'model': 'hero3773', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '1', 'company': 'Samsung', 'price': '3855', 'thickness': '20', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '18'}
('Samsung', 'N1801'),{'model': 'N1801', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '0', 'company': 'Samsung', 'price': '16344', 'thickness': '25', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '10'}
('Samsung', 'blackberry2826'),{'model': 'blackberry2826', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '1', 'company': 'Samsung', 'price': '20068', 'thickness': '20', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '9'}
('Samsung', 'N3648'),{'model': 'N3648', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '0', 'company': 'Samsung', 'price': '2956', 'thickness': '29', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '9'}
('Samsung', 'hero2972'),{'model': 'hero2972', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '0', 'company': 'Samsung', 'price': '4103', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '24'}
('Samsung', 'blackberry2769'),{'model': 'blackberry2769', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '0', 'company': 'Samsung', 'price': '33969', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '16'}
('Samsung', 'hero1343'),{'model': 'hero1343', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '5', 'company': 'Samsung', 'price': '11328', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '9'}
('Samsung', 'lumia2939'),{'model': 'lumia2939', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '2', 'company': 'Samsung', 'price': '32947', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '12'}
('Samsung', 'lumia3542'),{'model': 'lumia3542', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '5', 'company': 'Samsung', 'price': '14361', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '16'}
('Samsung', 'hero2782'),{'model': 'hero2782', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '4', 'company': 'Samsung', 'price': '17358', 'thickness': '14', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '22'}
