('Nokia', 'lumia4004'),{'model': 'lumia4004', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '3', 'company': 'Nokia', 'price': '15299', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '22'}
('Nokia', 'hero2688'),{'model': 'hero2688', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '1', 'company': 'Nokia', 'price': '38492', 'thickness': '22', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '20'}
('Nokia', 'hero3344'),{'model': 'hero3344', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '2', 'company': 'Nokia', 'price': '18790', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '30'}
('Nokia', 'lumia929'),{'model': 'lumia929', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '3', 'company': 'Nokia', 'price': '19200', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '29'}
('Nokia', 'lumia4552'),{'model': 'lumia4552', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '4', 'company': 'Nokia', 'price': '26874', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '5'}
('Nokia', 'N1938'),{'model': 'N1938', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '4', 'company': 'Nokia', 'price': '27802', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '11'}
('Nokia', 'blackberry2432'),{'model': 'blackberry2432', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '3', 'company': 'Nokia', 'price': '27854', 'thickness': '30', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '14'}
('Nokia', 'lumia3367'),{'model': 'lumia3367', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '2', 'company': 'Nokia', 'price': '3339', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '9'}
('Nokia', 'blackberry773'),{'model': 'blackberry773', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '2', 'company': 'Nokia', 'price': '11437', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '12'}
('Nokia', 'N3908'),{'model': 'N3908', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '1', 'company': 'Nokia', 'price': '26222', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '22'}
('Nokia', 'hero4395'),{'model': 'hero4395', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '2', 'company': 'Nokia', 'price': '22089', 'thickness': '30', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '7'}
('Nokia', 'hero3807'),{'model': 'hero3807', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '3', 'company': 'Nokia', 'price': '38969', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '10'}
('Nokia', 'blackberry4317'),{'model': 'blackberry4317', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '0', 'company': 'Nokia', 'price': '6709', 'thickness': '29', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '27'}
('Nokia', 'hero836'),{'model': 'hero836', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '2', 'company': 'Nokia', 'price': '10747', 'thickness': '20', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '22'}
('Nokia', 'hero2015'),{'model': 'hero2015', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '5', 'company': 'Nokia', 'price': '8419', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '11'}
('Nokia', 'lumia322'),{'model': 'lumia322', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '1', 'company': 'Nokia', 'price': '26183', 'thickness': '26', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '21'}
('Nokia', 'hero1640'),{'model': 'hero1640', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '2', 'company': 'Nokia', 'price': '24256', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '22'}
('Nokia', 'lumia3218'),{'model': 'lumia3218', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '3', 'company': 'Nokia', 'price': '21911', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '18'}
('Nokia', 'N4305'),{'model': 'N4305', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '3', 'company': 'Nokia', 'price': '13911', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '12'}
('Nokia', 'lumia2528'),{'model': 'lumia2528', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '2', 'company': 'Nokia', 'price': '26383', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '19'}
('Nokia', 'hero3725'),{'model': 'hero3725', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '1', 'company': 'Nokia', 'price': '16249', 'thickness': '11', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '18'}
('Nokia', 'blackberry1464'),{'model': 'blackberry1464', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '3', 'company': 'Nokia', 'price': '39199', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '17'}
('Nokia', 'lumia1298'),{'model': 'lumia1298', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '4', 'company': 'Nokia', 'price': '4792', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '9'}
('Nokia', 'blackberry1902'),{'model': 'blackberry1902', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '0', 'company': 'Nokia', 'price': '11895', 'thickness': '29', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '26'}
('Nokia', 'N322'),{'model': 'N322', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '0', 'company': 'Nokia', 'price': '13332', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '26'}
('Nokia', 'hero3846'),{'model': 'hero3846', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '4', 'company': 'Nokia', 'price': '36260', 'thickness': '10', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '26'}
('Nokia', 'blackberry155'),{'model': 'blackberry155', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '2', 'company': 'Nokia', 'price': '12981', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '22'}
('Nokia', 'hero1529'),{'model': 'hero1529', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '4', 'company': 'Nokia', 'price': '10976', 'thickness': '26', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '19'}
('Nokia', 'hero642'),{'model': 'hero642', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '0', 'company': 'Nokia', 'price': '25999', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '22'}
('Nokia', 'hero708'),{'model': 'hero708', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '2', 'company': 'Nokia', 'price': '12933', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '17'}
('Nokia', 'hero673'),{'model': 'hero673', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '4', 'company': 'Nokia', 'price': '18367', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '30'}
('Nokia', 'N3047'),{'model': 'N3047', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '3', 'company': 'Nokia', 'price': '22443', 'thickness': '26', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '23'}
('Nokia', 'blackberry1262'),{'model': 'blackberry1262', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '1', 'company': 'Nokia', 'price': '26783', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '13'}
('Nokia', 'lumia273'),{'model': 'lumia273', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '4', 'company': 'Nokia', 'price': '2609', 'thickness': '26', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '15'}
('Nokia', 'blackberry2193'),{'model': 'blackberry2193', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '3', 'company': 'Nokia', 'price': '12284', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '13'}
('Nokia', 'hero2627'),{'model': 'hero2627', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '4', 'company': 'Nokia', 'price': '20825', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '16'}
('Nokia', 'hero1560'),{'model': 'hero1560', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '0', 'company': 'Nokia', 'price': '4330', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '27'}
('Nokia', 'N1975'),{'model': 'N1975', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '2', 'company': 'Nokia', 'price': '30120', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '9'}
('Nokia', 'hero2404'),{'model': 'hero2404', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '1', 'company': 'Nokia', 'price': '10399', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '20'}
('Nokia', 'hero3631'),{'model': 'hero3631', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '0', 'company': 'Nokia', 'price': '17283', 'thickness': '12', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '26'}
('Nokia', 'hero3035'),{'model': 'hero3035', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '3', 'company': 'Nokia', 'price': '36916', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '28'}
('Nokia', 'N4209'),{'model': 'N4209', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '3', 'company': 'Nokia', 'price': '8856', 'thickness': '25', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '26'}
('Nokia', 'hero2480'),{'model': 'hero2480', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '1', 'company': 'Nokia', 'price': '9370', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '28'}
('Nokia', 'hero1587'),{'model': 'hero1587', 'GPS': 'yes', 'frontcamera': '17', 'rearcamera': '2', 'company': 'Nokia', 'price': '36581', 'thickness': '25', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '10'}
('Nokia', 'blackberry3819'),{'model': 'blackberry3819', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '5', 'company': 'Nokia', 'price': '7196', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '17'}
('Nokia', 'hero850'),{'model': 'hero850', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '2', 'company': 'Nokia', 'price': '19755', 'thickness': '26', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '20'}
('Nokia', 'N2602'),{'model': 'N2602', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '1', 'company': 'Nokia', 'price': '31448', 'thickness': '26', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '21'}
('Nokia', 'N3816'),{'model': 'N3816', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '3', 'company': 'Nokia', 'price': '38483', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '19'}
('Nokia', 'blackberry1832'),{'model': 'blackberry1832', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '0', 'company': 'Nokia', 'price': '1935', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '23'}
('Nokia', 'N1741'),{'model': 'N1741', 'GPS': 'no', 'frontcamera': '15', 'rearcamera': '4', 'company': 'Nokia', 'price': '12636', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '28'}
('Nokia', 'hero3348'),{'model': 'hero3348', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '0', 'company': 'Nokia', 'price': '38271', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '27'}
('Nokia', 'blackberry2339'),{'model': 'blackberry2339', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '5', 'company': 'Nokia', 'price': '17910', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '14'}
('Nokia', 'hero246'),{'model': 'hero246', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '0', 'company': 'Nokia', 'price': '9403', 'thickness': '25', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '19'}
('Nokia', 'N2347'),{'model': 'N2347', 'GPS': 'yes', 'frontcamera': '9', 'rearcamera': '1', 'company': 'Nokia', 'price': '18512', 'thickness': '30', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '21'}
('Nokia', 'N2013'),{'model': 'N2013', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '3', 'company': 'Nokia', 'price': '3622', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '11'}
('Nokia', 'N2209'),{'model': 'N2209', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '0', 'company': 'Nokia', 'price': '8545', 'thickness': '30', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '7'}
('Nokia', 'lumia185'),{'model': 'lumia185', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '4', 'company': 'Nokia', 'price': '7694', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '20'}
('Nokia', 'hero614'),{'model': 'hero614', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '2', 'company': 'Nokia', 'price': '21526', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '19'}
('Nokia', 'lumia3646'),{'model': 'lumia3646', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '1', 'company': 'Nokia', 'price': '31071', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '21'}
('Nokia', 'lumia332'),{'model': 'lumia332', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '2', 'company': 'Nokia', 'price': '22306', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '30'}
('Nokia', 'hero2048'),{'model': 'hero2048', 'GPS': 'yes', 'frontcamera': '14', 'rearcamera': '5', 'company': 'Nokia', 'price': '34667', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '12'}
('Nokia', 'hero1798'),{'model': 'hero1798', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '1', 'company': 'Nokia', 'price': '35217', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '7'}
('Nokia', 'lumia2546'),{'model': 'lumia2546', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '1', 'company': 'Nokia', 'price': '33794', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '6'}
('Nokia', 'N2609'),{'model': 'N2609', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '4', 'company': 'Nokia', 'price': '38478', 'thickness': '28', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '26'}
('Nokia', 'lumia1619'),{'model': 'lumia1619', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '3', 'company': 'Nokia', 'price': '31069', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '11'}
('Nokia', 'hero933'),{'model': 'hero933', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '0', 'company': 'Nokia', 'price': '28580', 'thickness': '28', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '22'}
('Nokia', 'hero1851'),{'model': 'hero1851', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '1', 'company': 'Nokia', 'price': '39255', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '26'}
('Nokia', 'blackberry443'),{'model': 'blackberry443', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '4', 'company': 'Nokia', 'price': '14877', 'thickness': '23', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '21'}
('Nokia', 'hero2378'),{'model': 'hero2378', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '3', 'company': 'Nokia', 'price': '2411', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '16'}
('Nokia', 'hero2191'),{'model': 'hero2191', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '2', 'company': 'Nokia', 'price': '26325', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '14'}
('Nokia', 'blackberry3653'),{'model': 'blackberry3653', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '3', 'company': 'Nokia', 'price': '29494', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '16'}
('Nokia', 'lumia4258'),{'model': 'lumia4258', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '1', 'company': 'Nokia', 'price': '10277', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '25'}
('Nokia', 'blackberry2158'),{'model': 'blackberry2158', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '5', 'company': 'Nokia', 'price': '16283', 'thickness': '17', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '20'}
('Nokia', 'blackberry3182'),{'model': 'blackberry3182', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '4', 'company': 'Nokia', 'price': '25489', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '20'}
('Nokia', 'hero466'),{'model': 'hero466', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '4', 'company': 'Nokia', 'price': '1198', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '18'}
('Nokia', 'hero291'),{'model': 'hero291', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '2', 'company': 'Nokia', 'price': '11264', 'thickness': '10', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '14'}
('Nokia', 'hero356'),{'model': 'hero356', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '1', 'company': 'Nokia', 'price': '36557', 'thickness': '24', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '12'}
('Nokia', 'hero671'),{'model': 'hero671', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '5', 'company': 'Nokia', 'price': '11046', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '18'}
('Nokia', 'blackberry2399'),{'model': 'blackberry2399', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '1', 'company': 'Nokia', 'price': '19808', 'thickness': '26', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '28'}
('Nokia', 'hero4392'),{'model': 'hero4392', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '2', 'company': 'Nokia', 'price': '13653', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '5'}
('Nokia', 'hero1426'),{'model': 'hero1426', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '4', 'company': 'Nokia', 'price': '37517', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '8'}
('Nokia', 'lumia1271'),{'model': 'lumia1271', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '3', 'company': 'Nokia', 'price': '33213', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '12'}
('Nokia', 'lumia826'),{'model': 'lumia826', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '2', 'company': 'Nokia', 'price': '29721', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '14'}
('Nokia', 'hero225'),{'model': 'hero225', 'GPS': 'yes', 'frontcamera': '15', 'rearcamera': '1', 'company': 'Nokia', 'price': '31265', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '9'}
('Nokia', 'blackberry4346'),{'model': 'blackberry4346', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '5', 'company': 'Nokia', 'price': '18991', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '25'}
('Nokia', 'hero4304'),{'model': 'hero4304', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '1', 'company': 'Nokia', 'price': '22227', 'thickness': '23', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '21'}
('Nokia', 'hero148'),{'model': 'hero148', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '0', 'company': 'Nokia', 'price': '26864', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '20'}
('Nokia', 'hero1978'),{'model': 'hero1978', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '5', 'company': 'Nokia', 'price': '14626', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '10'}
('Nokia', 'hero179'),{'model': 'hero179', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '1', 'company': 'Nokia', 'price': '33551', 'thickness': '13', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '16'}
('Nokia', 'blackberry3050'),{'model': 'blackberry3050', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '1', 'company': 'Nokia', 'price': '27487', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '14'}
('Nokia', 'blackberry2768'),{'model': 'blackberry2768', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '3', 'company': 'Nokia', 'price': '30340', 'thickness': '22', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '19'}
('Nokia', 'hero911'),{'model': 'hero911', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '4', 'company': 'Nokia', 'price': '31248', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '11'}
('Nokia', 'blackberry1154'),{'model': 'blackberry1154', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '1', 'company': 'Nokia', 'price': '32629', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '16'}
('Nokia', 'blackberry1434'),{'model': 'blackberry1434', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '5', 'company': 'Nokia', 'price': '27640', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '30'}
('Nokia', 'N1838'),{'model': 'N1838', 'GPS': 'yes', 'frontcamera': '17', 'rearcamera': '3', 'company': 'Nokia', 'price': '6166', 'thickness': '10', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '16'}
('Nokia', 'blackberry3347'),{'model': 'blackberry3347', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '1', 'company': 'Nokia', 'price': '30092', 'thickness': '30', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '5'}
('Nokia', 'hero2001'),{'model': 'hero2001', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '0', 'company': 'Nokia', 'price': '22259', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '9'}
('Nokia', 'lumia2212'),{'model': 'lumia2212', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '3', 'company': 'Nokia', 'price': '28385', 'thickness': '29', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '28'}
('Nokia', 'hero322'),{'model': 'hero322', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '4', 'company': 'Nokia', 'price': '39055', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '15'}
('Nokia', 'hero2639'),{'model': 'hero2639', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '1', 'company': 'Nokia', 'price': '24981', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '30'}
('Nokia', 'N2182'),{'model': 'N2182', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '2', 'company': 'Nokia', 'price': '9427', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '16'}
('Nokia', 'hero912'),{'model': 'hero912', 'GPS': 'yes', 'frontcamera': '14', 'rearcamera': '5', 'company': 'Nokia', 'price': '5130', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '24'}
('Nokia', 'blackberry3087'),{'model': 'blackberry3087', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '2', 'company': 'Nokia', 'price': '2313', 'thickness': '20', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '27'}
('Nokia', 'hero621'),{'model': 'hero621', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '4', 'company': 'Nokia', 'price': '32350', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '10'}
