('SonyEricsson', 'hero122'),{'model': 'hero122', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '19036', 'thickness': '20', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '21'}
('SonyEricsson', 'blackberry2245'),{'model': 'blackberry2245', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '39405', 'thickness': '12', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '23'}
('SonyEricsson', 'blackberry2118'),{'model': 'blackberry2118', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '13163', 'thickness': '23', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '22'}
('SonyEricsson', 'blackberry361'),{'model': 'blackberry361', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '27463', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '5'}
('SonyEricsson', 'N2812'),{'model': 'N2812', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '18824', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '9'}
('SonyEricsson', 'blackberry1006'),{'model': 'blackberry1006', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '36625', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '10'}
('SonyEricsson', 'lumia137'),{'model': 'lumia137', 'GPS': 'no', 'frontcamera': '15', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '6564', 'thickness': '16', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '6'}
('SonyEricsson', 'hero4564'),{'model': 'hero4564', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '11472', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '7'}
('SonyEricsson', 'blackberry1799'),{'model': 'blackberry1799', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '9928', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '9'}
('SonyEricsson', 'lumia3444'),{'model': 'lumia3444', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '29097', 'thickness': '30', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '15'}
('SonyEricsson', 'lumia3136'),{'model': 'lumia3136', 'GPS': 'no', 'frontcamera': '15', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '34666', 'thickness': '14', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '6'}
('SonyEricsson', 'blackberry2897'),{'model': 'blackberry2897', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '25077', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '10'}
('SonyEricsson', 'N1712'),{'model': 'N1712', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '23319', 'thickness': '28', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '11'}
('SonyEricsson', 'blackberry4377'),{'model': 'blackberry4377', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '35097', 'thickness': '20', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '23'}
('SonyEricsson', 'N976'),{'model': 'N976', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '27120', 'thickness': '10', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '12'}
('SonyEricsson', 'hero283'),{'model': 'hero283', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '37733', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '15'}
('SonyEricsson', 'lumia3112'),{'model': 'lumia3112', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '13821', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '9'}
('SonyEricsson', 'hero1803'),{'model': 'hero1803', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '32589', 'thickness': '30', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '14'}
('SonyEricsson', 'lumia1601'),{'model': 'lumia1601', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '30761', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '20'}
('SonyEricsson', 'hero2461'),{'model': 'hero2461', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '9308', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '24'}
('SonyEricsson', 'blackberry1661'),{'model': 'blackberry1661', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '16513', 'thickness': '12', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '14'}
('SonyEricsson', 'lumia1339'),{'model': 'lumia1339', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '28986', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '18'}
('SonyEricsson', 'N1642'),{'model': 'N1642', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '1177', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '9'}
('SonyEricsson', 'lumia3024'),{'model': 'lumia3024', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '21214', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '24'}
('SonyEricsson', 'hero1036'),{'model': 'hero1036', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '35789', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '11'}
('SonyEricsson', 'hero2130'),{'model': 'hero2130', 'GPS': 'yes', 'frontcamera': '14', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '29558', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '11'}
('SonyEricsson', 'N374'),{'model': 'N374', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '8229', 'thickness': '20', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '6'}
('SonyEricsson', 'blackberry793'),{'model': 'blackberry793', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '13538', 'thickness': '13', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '17'}
('SonyEricsson', 'N2188'),{'model': 'N2188', 'GPS': 'no', 'frontcamera': '15', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '28968', 'thickness': '20', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '12'}
('SonyEricsson', 'hero2720'),{'model': 'hero2720', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '27539', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '12'}
('SonyEricsson', 'hero4314'),{'model': 'hero4314', 'GPS': 'yes', 'frontcamera': '9', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '9001', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '12'}
('SonyEricsson', 'hero807'),{'model': 'hero807', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '10373', 'thickness': '20', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '7'}
('SonyEricsson', 'N1046'),{'model': 'N1046', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '31766', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '22'}
('SonyEricsson', 'hero1104'),{'model': 'hero1104', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '20002', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '8'}
('SonyEricsson', 'hero2813'),{'model': 'hero2813', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '3118', 'thickness': '28', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '29'}
('SonyEricsson', 'N2958'),{'model': 'N2958', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '28580', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '21'}
('SonyEricsson', 'hero1210'),{'model': 'hero1210', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '13977', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '21'}
('SonyEricsson', 'N4384'),{'model': 'N4384', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '12796', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '11'}
('SonyEricsson', 'blackberry1439'),{'model': 'blackberry1439', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '25765', 'thickness': '13', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '23'}
('SonyEricsson', 'hero3798'),{'model': 'hero3798', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '1764', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '21'}
('SonyEricsson', 'N1249'),{'model': 'N1249', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '3385', 'thickness': '10', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '22'}
('SonyEricsson', 'lumia2310'),{'model': 'lumia2310', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '34661', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '22'}
('SonyEricsson', 'lumia2939'),{'model': 'lumia2939', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '22417', 'thickness': '20', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '15'}
('SonyEricsson', 'N877'),{'model': 'N877', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '10427', 'thickness': '26', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '15'}
('SonyEricsson', 'blackberry3814'),{'model': 'blackberry3814', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '34448', 'thickness': '20', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '5'}
('SonyEricsson', 'N4286'),{'model': 'N4286', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '38776', 'thickness': '29', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '12'}
('SonyEricsson', 'hero2028'),{'model': 'hero2028', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '11763', 'thickness': '16', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '21'}
('SonyEricsson', 'blackberry3974'),{'model': 'blackberry3974', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '27437', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '9'}
('SonyEricsson', 'blackberry4165'),{'model': 'blackberry4165', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '38370', 'thickness': '29', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '19'}
('SonyEricsson', 'N3735'),{'model': 'N3735', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '23696', 'thickness': '20', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '5'}
('SonyEricsson', 'blackberry1838'),{'model': 'blackberry1838', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '4061', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '14'}
('SonyEricsson', 'hero3689'),{'model': 'hero3689', 'GPS': 'no', 'frontcamera': '15', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '21737', 'thickness': '29', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '6'}
('SonyEricsson', 'lumia3178'),{'model': 'lumia3178', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '14437', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '16'}
('SonyEricsson', 'blackberry2554'),{'model': 'blackberry2554', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '30759', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '28'}
('SonyEricsson', 'hero840'),{'model': 'hero840', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '6850', 'thickness': '26', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '14'}
('SonyEricsson', 'blackberry714'),{'model': 'blackberry714', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '30944', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '7'}
('SonyEricsson', 'hero3522'),{'model': 'hero3522', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '23316', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '10'}
('SonyEricsson', 'hero3241'),{'model': 'hero3241', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '25124', 'thickness': '12', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '30'}
('SonyEricsson', 'N858'),{'model': 'N858', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '7795', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '11'}
('SonyEricsson', 'lumia3996'),{'model': 'lumia3996', 'GPS': 'yes', 'frontcamera': '9', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '21267', 'thickness': '12', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '11'}
('SonyEricsson', 'hero2619'),{'model': 'hero2619', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '9139', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '9'}
('SonyEricsson', 'N1635'),{'model': 'N1635', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '22034', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '7'}
('SonyEricsson', 'lumia4299'),{'model': 'lumia4299', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '18098', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '30'}
('SonyEricsson', 'hero3087'),{'model': 'hero3087', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '12033', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '11'}
('SonyEricsson', 'N3763'),{'model': 'N3763', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '3808', 'thickness': '17', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '8'}
('SonyEricsson', 'lumia3132'),{'model': 'lumia3132', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '15166', 'thickness': '17', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '12'}
('SonyEricsson', 'hero2072'),{'model': 'hero2072', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '31749', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '13'}
('SonyEricsson', 'blackberry3830'),{'model': 'blackberry3830', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '12400', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '14'}
('SonyEricsson', 'blackberry2939'),{'model': 'blackberry2939', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '14611', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '13'}
('SonyEricsson', 'lumia3830'),{'model': 'lumia3830', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '32898', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '16'}
('SonyEricsson', 'blackberry2415'),{'model': 'blackberry2415', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '33609', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '12'}
('SonyEricsson', 'N1484'),{'model': 'N1484', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '11073', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '5'}
('SonyEricsson', 'blackberry4076'),{'model': 'blackberry4076', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '30688', 'thickness': '24', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '15'}
('SonyEricsson', 'N2554'),{'model': 'N2554', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '29943', 'thickness': '28', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '27'}
('SonyEricsson', 'hero3480'),{'model': 'hero3480', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '33113', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '5'}
('SonyEricsson', 'blackberry582'),{'model': 'blackberry582', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '21010', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '20'}
('SonyEricsson', 'N742'),{'model': 'N742', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '12412', 'thickness': '22', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '15'}
('SonyEricsson', 'hero290'),{'model': 'hero290', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '27111', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '15'}
('SonyEricsson', 'hero1870'),{'model': 'hero1870', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '28729', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '20'}
('SonyEricsson', 'N4060'),{'model': 'N4060', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '38028', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '29'}
('SonyEricsson', 'hero3440'),{'model': 'hero3440', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '38073', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '5'}
('SonyEricsson', 'lumia1597'),{'model': 'lumia1597', 'GPS': 'yes', 'frontcamera': '15', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '26248', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '28'}
('SonyEricsson', 'blackberry2377'),{'model': 'blackberry2377', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '26220', 'thickness': '24', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '11'}
('SonyEricsson', 'hero4158'),{'model': 'hero4158', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '17562', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '22'}
('SonyEricsson', 'hero2686'),{'model': 'hero2686', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '32806', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '26'}
('SonyEricsson', 'N566'),{'model': 'N566', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '6197', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '27'}
('SonyEricsson', 'hero4049'),{'model': 'hero4049', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '36135', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '18'}
