{'rearcamera': '3', 'price': '15299', 'talktime': '22', 'operatingsystem': 'windows', 'frontcamera': '20', 'model': 'lumia4004', 'thickness': '18', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '36625', 'talktime': '10', 'operatingsystem': 's40', 'frontcamera': '13', 'model': 'blackberry1006', 'thickness': '14', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '3', 'price': '6564', 'talktime': '6', 'operatingsystem': 's40', 'frontcamera': '15', 'model': 'lumia137', 'thickness': '16', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '5', 'price': '31942', 'talktime': '10', 'operatingsystem': 'bada', 'frontcamera': '17', 'model': 'hero391', 'thickness': '18', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '3', 'price': '22892', 'talktime': '6', 'operatingsystem': 'symbian', 'frontcamera': '12', 'model': 'hero4537', 'thickness': '13', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '11472', 'talktime': '7', 'operatingsystem': 's40', 'frontcamera': '20', 'model': 'hero4564', 'thickness': '13', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '3', 'price': '23788', 'talktime': '10', 'operatingsystem': 'symbian', 'frontcamera': '18', 'model': 'lumia1258', 'thickness': '18', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '24039', 'talktime': '20', 'operatingsystem': 'symbian', 'frontcamera': '2', 'model': 'hero1489', 'thickness': '24', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '27751', 'talktime': '7', 'operatingsystem': 'android', 'frontcamera': '12', 'model': 'blackberry2720', 'thickness': '10', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '2', 'price': '3569', 'talktime': '29', 'operatingsystem': 'windows', 'frontcamera': '15', 'model': 'N1380', 'thickness': '16', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '38216', 'talktime': '21', 'operatingsystem': 'android', 'frontcamera': '16', 'model': 'N4443', 'thickness': '17', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '1', 'price': '26222', 'talktime': '22', 'operatingsystem': 'bada', 'frontcamera': '9', 'model': 'N3908', 'thickness': '18', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '1', 'price': '9928', 'talktime': '9', 'operatingsystem': 'bada', 'frontcamera': '13', 'model': 'blackberry1799', 'thickness': '27', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '29097', 'talktime': '15', 'operatingsystem': 's40', 'frontcamera': '7', 'model': 'lumia3444', 'thickness': '30', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '22089', 'talktime': '7', 'operatingsystem': 'windows', 'frontcamera': '10', 'model': 'hero4395', 'thickness': '30', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '34666', 'talktime': '6', 'operatingsystem': 's40', 'frontcamera': '15', 'model': 'lumia3136', 'thickness': '14', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '3', 'price': '11522', 'talktime': '6', 'operatingsystem': 'bada', 'frontcamera': '19', 'model': 'blackberry2661', 'thickness': '18', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '3', 'price': '7844', 'talktime': '6', 'operatingsystem': 's40', 'frontcamera': '16', 'model': 'hero816', 'thickness': '20', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '25077', 'talktime': '10', 'operatingsystem': 'blackberry', 'frontcamera': '4', 'model': 'blackberry2897', 'thickness': '27', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '28687', 'talktime': '23', 'operatingsystem': 'symbian', 'frontcamera': '14', 'model': 'blackberry1651', 'thickness': '22', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
