Loudspeaker	GPRS	WLAN	Dimensions	Price group	2G Network	Battery life	Multitouch	Camera	Audio quality	Stand-by	GPU	Java	Type	CPU	SIM	USB	Status	Company	Chipset	Protection	Announced	Video	Sensors	GPS	Secondary	Card slot	EDGE	Talk time	4G Network	jack	Messaging	Display	Browser	Alert types	Weight	Speed	Image	Primary	3G Network	Bluetooth	Colors	Internal	Radio	Music play	OS	Brand	Size	segment
Yes	Up to 85.6 kbps	No	116 x 49.4 x 12.4 mm, 64 cc (4.57 x 1.94 x 0.49 in)	50	GSM 850 / 1900 - RM-873	No	No	No	No	680	No	Yes, MIDP 2.1	TFT, 65K colors	No	Optional Dual SIM (Mini-SIM, Dual-standby)	No	Available. Released 2012, Q4	Nokia	No	No	2012, November	Yes, QCIF@10fps	No	No	No	microSD, up to 32 GB	Up to 236.8 kbps	20	No	Yes	SMS(threaded view), MMS, Email, IM	No	WAP 2.0/xHTML, HTML	Vibration, MP3 ringtones	91 g (3.21 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-206.jpg	1.3 MP, 1280 x 960 pixels	No	Yes, v2.1 with EDR	Cyan , Magenta, Yellow, Black, White	64 MB	Stereo FM radio with RDS, FM recording	Up to 41 h	No	206	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)	low_end
Yes	Up to 85.6 kbps	No	112.8 x 61.1 x 13 mm, 104 cc (4.44 x 2.41 x 0.51 in)	50	GSM 850 / 1900 - RM-863	No	No	No	No	891	No	Yes, MIDP 2.0	TFT, 65K colors	No	Optional Dual SIM (Mini-SIM)	No	Available. Released 2012, Q4	Nokia	No	No	2012, November	Yes, QCIF@10fps	No	No	No	microSD, up to 32 GB	Up to 236.8 kbps	11	No	Yes	SMS(threaded view), MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	94 g (3.32 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-asha-205-new.jpg	VGA, 640x480 pixels	No	Yes, v2.1 with EDR	Cyan, Magenta, Orange, Pink, White	64 MB	Stereo FM radio with RDS, FM recording	Up to 31 h	No	Asha 205	320 x 240 pixels, 2.4 inches (~167 ppi pixel density)	low_end
Yes	Yes	No	110 x 46 x 14.8 mm, 63 cc (4.33 x 1.81 x 0.58 in)	40	GSM 900 / 1800 	No	No	No	No	790	No	Yes, MIDP 2.1	TFT, 65K colors	No	Mini-SIM	No	Available. Released 2012, December	Nokia	No	No	2012, November	No	No	No	No	microSD, up to 32 GB	Up to 236.8 kbps	7	No	Yes	SMS(threaded view), MMS, Email, IM	No	WAP 2.0/xHTML	Vibration; Polyphonic	77 g (2.72 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-109.jpg	No	No	No	Black, Cyan	64 MB ROM, 16 MB RAM	Stereo FM radio with RDS, FM recording	Up to 21 h 30 min	No	109	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Yes	Class B	Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct	127.8 x 68.4 x 11.2 mm, 95 cc (5.03 x 2.69 x 0.44 in)	330	CDMA 800 / 1900 	No	Yes	No	No	254	Adreno 225	No	AMOLED capacitive touchscreen, 16M colors	Dual-core 1.5 GHz Krait	Micro-SIM	Yes, microUSB v2.0	Available. Released 2012, November	Nokia	Qualcomm MSM8960 Snapdragon	Corning Gorilla Glass 2	2012, October	Yes, 1080p@30fps	Accelerometer, gyro, proximity, compass	Yes, with A-GPS support and GLONASS	Yes, 1.2 MP, 720p@30fps	microSD, up to 64 GB	Class B	10	LTE 700 MHz Class 13 	Yes	SMS (threaded view), MMS, Email, Push Email, IM	No	HTML5	Vibration; MP3, WAV ringtones	141.6 g (4.97 oz)	EV-DO Rev. A, up to 3.1 Mbps; HSDPA, 42 Mbps; HSUPA, 5.76 Mbps; LTE, Cat3, 50 Mbps UL, 100 Mbps DL	http://cdn2.gsmarena.com/vv/thumb/nokia-lumia-822-new.jpg	8 MP, 3264x2448 pixels, autofocus, Carl Zeiss Tessar lens, F2.2, dual-LED flash	CDMA2000 1xEV-DO 	Yes, v3.1 with A2DP, EDR	Black, Gray, White, Red	16 GB, 1 GB RAM	No	Up to 62.1 h	Microsoft Windows Phone 8	Lumia 822	480 x 800 pixels, 4.3 inches (~217 ppi pixel density)	high_end
Voice 67dB / Noise 66dB / Ring 76dB	Up to 85.6 kbps	Wi-Fi 802.11 b/g/n	120.7 x 64.9 x 11.5 mm, 81 cc (4.75 x 2.56 x 0.45 in)	150	GSM 850 / 900 / 1800 / 1900 	Endurance rating 44h	Yes	Photo	Noise -79.4dB / Crosstalk -75.2dB	739	Adreno 200	No	TFT capacitive touchscreen, 65K colors	800 MHz Cortex-A5	Micro-SIM	Yes, microUSB v2.0	Available. Released 2012, November	Nokia	Qualcomm MSM7227A Snapdragon	No	2012, October	Yes, VGA@30fps	Accelerometer, proximity	Yes, with A-GPS support	No	No	Up to 236.8 kbps	6	No	Yes	SMS (threaded view), MMS, Email, IM	Contrast ratio: 904:1 (nominal) / 1.268:1 (sunlight)	HTML5	Vibration; MP3, WAV ringtones	129 g (4.55 oz)	HSDPA, 7.2 Mbps; HSUPA, 5.76 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-lumia-510.jpg	5 MP	HSDPA 850 / 900 / 1900 / 2100 	Yes, v2.1 with A2DP, EDR	White, Cyan, Black, Red, Yellow	4 GB storage, 256 MB RAM	Stereo FM radio	Up to 38 h	Microsoft Windows Phone 7.8	Lumia 510	480 x 800 pixels, 4.0 inches (~233 ppi pixel density)	mid_range
Yes	Yes	No	110 x 46 x 14.8 mm (4.33 x 1.81 x 0.58 in)	70	GSM 900 / 1800 	No	No	No	No	792	No	Yes	TFT, 65K colors	No	Mini-SIM	&nbsp;	Available. Released 2012, September	Nokia	No	No	2012, May	Yes, 176x144	No	No	No	microSD, up to 32 GB	Yes	7	No	Yes	SMS(threaded view), MMS, Email, IM	No	WAP 1.1	Vibration; Polyphonic	77 g (2.72 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-113.jpg	VGA, 640x480 pixels	No	Yes, v2.1 with EDR	Black, Magenta, Lime Green, Cyan	16 MB	Stereo FM radio with RDS, FM recording	No	No	113	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Yes	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct	127.8 x 68.4 x 10.9 mm, 95 cc (5.03 x 2.69 x 0.43 in)	300	GSM 850 / 900 / 1800 / 1900 	Endurance rating 48h	Yes	No	Noise -80.0dB / Crosstalk -75.4dB	400	Adreno 225	No	AMOLED capacitive touchscreen, 16M colors	Dual-core 1.5 GHz Krait	Micro-SIM	Yes, microUSB v2.0	Available. Released 2012, November	Nokia	Qualcomm MSM8960 Snapdragon	Corning Gorilla Glass 2	2012, October	Yes, 1080p@30fps, video stabilization	Accelerometer, gyro, proximity, compass	Yes, with A-GPS support	Yes, 1.2 MP, 720p@30fps	microSD, up to 64 GB	Class 12	10	No	Yes	SMS (threaded view), MMS, Email, Push Email, IM	No	HTML5	Vibration; MP3, WAV ringtones	145 g (5.11 oz)	HSDPA, 42.2 Mbps; HSUPA, 5.76 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-lumia-810.jpg	8 MP, 3264x2448 pixels, Carl Zeiss optics, autofocus, dual-LED flash	HSDPA 1700 / 2100 	Yes, v3.0 with A2DP, EDR	Black, Cyan	8 GB, 1 GB RAM	No	Up to 54 h	Microsoft Windows Phone 8	Lumia 810	480 x 800 pixels, 4.3 inches (~217 ppi pixel density)	high_end
Yes	Up to 85.6 kbps	Wi-Fi 802.11 b/g/n	109.9 x 54 x 13.2 mm, 67 cc (4.33 x 2.13 x 0.52 in)	90	GSM 850 / 900 / 1800 / 1900 	No	Yes	No	No	650	No	Yes, MIDP 2.1	TFT capacitive touchscreen, 65K colors	No	Mini-SIM	Yes, microUSB v2.0	Available. Released 2012, December	Nokia	No	No	2012, September	Yes, 176x144@10fps	Accelerometer	No	No	microSD, up to 32 GB, 2 GB included	Up to 236.8 kbps	6	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML	Vibration, Polyphonic(64), WAV, MP3 ringtones	102 g (3.60 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-asha-309.jpg	2 MP, 1600x1200 pixels	No	Yes, v3.0 with A2DP	Black, White	20 MB, 128 MB ROM, 64 MB RAM	Stereo FM radio with RDS, FM recording	Up to 40 h	No	Asha 309	240 x 400 pixels, 3.0 inches (~155 ppi pixel density)	low_end
Voice 81dB / Noise 71dB / Ring 75dB	Up to 85.6 kbps	No	109.9 x 54 x 13 mm, 67 cc (4.33 x 2.13 x 0.51 in)	80	GSM 900 / 1800 - SIM 1 & SIM 2	No	Yes	No	Noise -81.5dB / Crosstalk -78.2dB	510	No	Yes, MIDP 2.1	TFT capacitive touchscreen, 65K colors	No	Dual SIM (Mini-SIM)	Yes, microUSB v2.0	Available. Released 2012, October	Nokia	No	Scratch-resistant glass	2012, September	Yes, 176x144@13fps	Accelerometer	No	No	microSD, up to 32 GB, 2 GB included	Up to 236.8 kbps	6	No	Yes	SMS, MMS, Email, IM	Contrast ratio: 938:1 (nominal) / 1.911:1 (sunlight)	WAP 2.0/xHTML, HTML	Vibration, Polyphonic(64), WAV, MP3 ringtones	104 g (3.67 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-asha-308.jpg	2 MP, 1600x1200 pixels	No	Yes, v3.0 with A2DP	Black, Golden light	20 MB, 128 MB ROM, 64 MB RAM	Stereo FM radio with RDS, FM recording	Up to 40 h	No	Asha 308	240 x 400 pixels, 3.0 inches (~155 ppi pixel density)	low_end
Voice 61dB / Noise 64dB / Ring 65dB	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, Wi-Fi hotspot	130.3 x 70.8 x 10.7 mm, 99 cc (5.13 x 2.79 x 0.42 in)	400	GSM 850 / 900 / 1800 / 1900 - RM-821, RM-820	Endurance rating 44h	Yes	Photo	Noise -78.9dB / Crosstalk -75.0dB	400	Adreno 225	No	IPS LCD capacitive touchscreen, 16M colors	Dual-core 1.5 GHz Krait	Micro-SIM	Yes, microUSB v2.0	Available. Released 2012, November	Nokia	Qualcomm MSM8960 Snapdragon	Corning Gorilla Glass 2	2012, September	Yes	Accelerometer, gyro, proximity, compass	Yes, with A-GPS support and GLONASS	Yes, 1.3 MP, 720p@30fps	No	Up to 236.8 kbps	17	LTE 800 / 900 / 1800 / 2100 / 2600 - RM-821	Yes	SMS (threaded view), MMS, Email, Push Email, IM	Contrast ratio: 1065:1 (nominal) / 2.107:1 (sunlight)	HTML5	Vibration; MP3, WAV ringtones	185 g (6.53 oz)	HSDPA, 42.2 Mbps; HSUPA, 5.76 Mbps; LTE, Cat3, 50 Mbps UL, 100 Mbps DL	http://cdn2.gsmarena.com/vv/thumb/nokia-lumia-920.jpg	8 MP	HSDPA 850 / 900 / 1900 / 2100 - RM-821, RM-820	Yes, v3.1 with A2DP, EDR	Black, Gray, Red, Yellow, White	32 GB storage, 1 GB RAM	No	Up to 67 h	Microsoft Windows Phone 8	Lumia 920	768 x 1280 pixels, 4.5 inches (~332 ppi pixel density)	high_end
Voice 67dB / Noise 66dB / Ring 70dB	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct	123.8 x 68.5 x 9.9 mm, 83.5 cc (4.87 x 2.70 x 0.39 in)	290	GSM 850 / 900 / 1800 / 1900 	Endurance rating 40h	Yes	Photo	Noise -82.2dB / Crosstalk -81.4dB	330	Adreno 225	No	AMOLED capacitive touchscreen, 16M colors	Dual-core 1.5 GHz Krait	Micro-SIM	Yes, microUSB v2.0	Available. Released 2012, November	Nokia	Qualcomm MSM8960 Snapdragon	No	2012, September	Yes	Accelerometer, gyro, proximity, compass	Yes, with A-GPS support and GLONASS	Yes, VGA	microSD, up to 64 GB	Class 12	14	LTE 800 / 900 / 1800 / 2100 / 2600 	Yes	SMS (threaded view), MMS, Email, Push Email, IM	Contrast ratio: Infinite (nominal) / 2.193:1 (sunlight)	HTML5	Vibration; MP3, WAV ringtones	160 g (5.64 oz)	HSDPA, 42 Mbps; HSUPA, 5.76 Mbps; LTE, Cat3, 50 Mbps UL, 100 Mbps DL	http://cdn2.gsmarena.com/vv/thumb/nokia-lumia-820.jpg	8 MP	HSDPA 850 / 900 / 1900 / 2100 	Yes, v3.1 with A2DP, EDR	Black, Gray, Red, Yellow, White, Blue, Violet	8 GB, 1 GB RAM	No	Up to 55 h	Microsoft Windows Phone 8	Lumia 820	480 x 800 pixels, 4.3 inches (~217 ppi pixel density)	mid_range
Yes	Yes	Wi-Fi 802.11 b/g/n	106 x 52 x 12.9 mm, 92 cc (4.17 x 2.05 x 0.51 in)	80	GSM 850 / 900 / 1800 / 1900 	No	Yes	No	No	696	No	Yes	TFT capacitive touchscreen, 65K colors	1 GHz	Mini-SIM	Yes, microUSB v2.0, USB On-the-go	Available. Released 2012, August	Nokia	No	Corning Gorilla Glass	2012, June	Yes, VGA@25fps	Accelerometer, proximity	No	No	microSD, up to 32 GB	Yes	14	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML	Vibration, Polyphonic(64), WAV, MP3 ringtones	95 g (3.35 oz)	HSDPA, 14.4 Mbps; HSUPA, 5.76 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-asha-311.jpg	3.15 MP, 2048x1536 pixels	HSDPA 850 / 900 / 1700 / 1900 / 2100 	Yes, v2.1 with EDR	Dark Grey, Rose Red, Blue, Brown, Sand White	140 MB, 256 MB ROM, 128 MB RAM	Stereo FM radio with RDS	Up to 40 h	No	Asha 311	240 x 400 pixels, 3.0 inches (~155 ppi pixel density)	low_end
Yes	Yes	Wi-Fi 802.11 b/g	110.3 x 53.8 x 12.8 mm, 66 cc (4.34 x 2.12 x 0.50 in)	100	GSM 850 / 900 / 1800 / 1900 	No	Yes	No	No	600	No	Yes	TFT resistive touchscreen, 65K colors	No	Mini-SIM	Yes, microUSB v2.0	Available. Released 2012, July	Nokia	No	No	2012, June	Yes, 176x144@10fps	Accelerometer	No	No	microSD, up to 32 GB, 2 GB included	Yes	14	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML	Vibration, Polyphonic(64), WAV, MP3 ringtones	96 g (3.39 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-asha-306.jpg	2 MP, 1600x1200 pixels	No	Yes, v2.1 with EDR	Silver White, Red, Mid Blue, Dark Grey	10 MB, 64 MB ROM, 32 MB RAM	Stereo FM radio with RDS	Up to 40 h	No	Asha 306	240 x 400 pixels, 3.0 inches (~155 ppi pixel density)	mid_range
Voice 77dB / Noise 73dB / Ring 81dB	Yes	No	110.3 x 53.8 x 12.8 mm, 66 cc (4.34 x 2.12 x 0.50 in)	80	GSM 900 / 1800 - SIM 1 & SIM 2	No	Yes	No	Noise -85.2dB / Crosstalk -82.8dB	528	No	Yes	TFT resistive touchscreen, 65K colors	No	Dual SIM (Mini-SIM, dual stand-by)	Yes, microUSB v2.0	Available. Released 2012, July	Nokia	No	No	2012, June	Yes, 176x144@10fps	Accelerometer	No	No	microSD, up to 32 GB, 2 GB included	Yes	14	No	Yes	SMS, MMS, Email, IM	Contrast ratio: 955 (nominal) / 1.178:1 (sunlight)	WAP 2.0/xHTML, HTML	Vibration, Polyphonic(64), WAV, MP3 ringtones	98 g (3.46 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-asha-305.jpg	2 MP, 1600x1200 pixels	No	Yes, v2.1 with EDR	Silver White, Red, Mid Blue, Dark Grey	10 MB, 64 MB ROM, 32 MB RAM	Stereo FM radio with RDS	Up to 40 h	No	Asha 305	240 x 400 pixels, 3.0 inches (~155 ppi pixel density)	low_end
Yes	Yes	No	110.4 x 46.9 x 15.4 mm, 67 cc (4.35 x 1.85 x 0.61 in)	90	GSM 900 / 1800 - SIM 1 & SIM 2	No	No	No	No	840	No	Yes	TFT, 65K colors	No	Dual SIM (Mini-SIM)	&nbsp;	Available. Released 2012, September	Nokia	No	No	2012, May	Yes, 176x144	No	No	No	microSD, up to 32 GB	Yes	14	No	Yes	SMS(threaded view), MMS, Email, IM	No	WAP 2.0/xHTML	Vibration; Polyphonic	85.5 g (3.00 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-112.jpg	VGA, 640x480 pixels	No	Yes, v2.1 with EDR	Dark Grey, White, Red, Cyan	16 MB	Stereo FM radio with RDS, FM recording	Up to 27 h	No	112	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Yes	Yes	No	110 x 46 x 14.8 mm, 63 cc (4.33 x 1.81 x 0.58 in)	50	GSM 900 / 1800 	No	No	No	No	792	No	Yes	TFT, 65K colors	No	Mini-SIM	&nbsp;	Available. Released 2012, September	Nokia	No	No	2012, May	Yes, 176x144	No	No	No	microSD, up to 32 GB	Yes	7	No	Yes	SMS(threaded view), MMS, Email, IM	No	WAP 1.1	Vibration; Polyphonic	77 g (2.72 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-111.jpg	VGA, 640x480 pixels	No	Yes, v2.1 with EDR	Black, Magenta, Lime Green, Cyan	10 MB	Stereo FM radio with RDS, FM recording	Up to 21 h	No	111	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
